route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307223,"South to I-485/S. Blvd",1,928085,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307224,"South to I-485/S. Blvd",1,928086,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307225,"South to I-485/S. Blvd",1,928087,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307226,"South to I-485/S. Blvd",1,928095,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307228,"South to I-485/S. Blvd",1,928088,5010123
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307229,"South to I-485/S. Blvd",1,928087,5010123
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307230,"South to I-485/S. Blvd",1,928096,5010123
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307609,"North to UNCC",0,928108,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307610,"North to UNCC",0,928107,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307611,"North to UNCC",0,928104,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307612,"North to UNCC",0,928106,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307614,"North to UNCC",0,928106,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307615,"North to UNCC",0,928103,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307616,"North to UNCC",0,928108,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307617,"North to UNCC",0,928107,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307618,"North to UNCC",0,928102,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307619,"South to I-485/S. Blvd",1,928102,5010111
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307620,"South to I-485/S. Blvd",1,928107,5010111
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307621,"South to I-485/S. Blvd",1,928108,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307622,"South to I-485/S. Blvd",1,928104,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307623,"South to I-485/S. Blvd",1,928105,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307624,"South to I-485/S. Blvd",1,928103,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307625,"South to I-485/S. Blvd",1,928109,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307626,"South to I-485/S. Blvd",1,928106,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307627,"South to I-485/S. Blvd",1,928102,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307628,"South to I-485/S. Blvd",1,928107,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307629,"South to I-485/S. Blvd",1,928108,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307630,"South to I-485/S. Blvd",1,928104,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307631,"South to I-485/S. Blvd",1,928105,5010107
